"A","songs","all","west","midwest","south","northeast","index","all3"
"1","Drums",1486,577,204,211,442,1,1434
"2","Space",1058,410,146,165,299,2,1020
"3","Playing in the Band",690,259,97,85,209,3,650
"4","Not Fade Away",655,237,95,68,218,4,618
"5","Me and My Uncle",622,240,89,80,177,5,586
"6","Sugar Magnolia",592,212,86,77,179,6,554
"7","The Other One",561,230,76,61,161,7,528
"8","China Cat Sunflower",558,234,75,67,152,8,528
"9","I Know You Rider",558,230,72,67,158,9,527
"10","Truckin'",527,180,78,68,165,10,491
"11","Jack Straw",471,162,69,69,142,11,442
"12","Good Lovin'",438,158,54,53,147,12,412
"13","Minglewood Blues",436,162,60,59,137,13,418
"14","Mexicali Blues",433,152,72,63,123,14,410
"15","Tennessee Jed",430,150,71,62,121,15,404
"16","The Promised Land",427,155,65,70,118,16,408
"17","Deal",421,146,67,57,131,17,401
"18","Around and Around",417,149,67,62,119,18,397
"19","Looks Like Rain",414,139,61,59,140,19,399
"20","Wharf Rat",397,153,54,52,118,20,377
"21","Bertha",396,140,60,46,131,21,377
"22","Big River",394,132,66,67,110,22,375
"23","Estimated Prophet",389,147,50,64,115,23,376
"24","El Paso",385,117,67,57,122,24,363
"25","Eyes of the World",380,144,51,63,108,25,366
"26","Samson and Delilah",364,139,54,48,111,26,352
"27","Sugaree",357,127,54,53,96,27,330
"28","Loser",349,116,52,49,113,28,330
"29","Black Peter",347,137,51,43,102,29,333
"30","Turn On Your Love Light",345,169,47,31,86,30,333
"31","Uncle John's Band",341,135,45,40,111,31,331
"32","Brown-Eyed Women",339,107,64,56,100,32,327
"33","Cassidy",339,141,48,39,102,33,330
"34","One More Saturday Night",334,133,49,40,80,34,302
"35","Beat It On Down the Line",327,120,53,30,93,35,296
"36","He's Gone",326,119,46,50,89,36,304
"37","Stella Blue",325,124,46,53,90,37,313
"38","U.S. Blues",324,129,45,48,86,38,308
"39","Ramble On Rose",320,110,48,45,96,39,299
"40","Don't Ease Me In",318,111,54,46,99,40,310
"41","Scarlet Begonias",317,120,47,45,88,41,300
"42","Friend of the Devil",305,124,43,42,88,42,297
"43","Casey Jones",303,105,50,29,94,43,278
"44","Terrapin Station",302,125,42,44,82,44,293
"45","Going Down the Road Feelin' Bad",301,93,44,33,112,45,282
"46","Bird Song",299,120,36,40,89,46,285
"47","Mama Tried",297,116,38,38,96,47,288
"48","Greatest Story Ever Told",281,96,38,29,100,48,263
"49","Johnny B. Goode",281,97,42,40,94,49,273
"50","Little Red Rooster",274,115,35,39,72,50,261
"51","Althea",272,101,40,34,83,51,258
"52","I Need a Miracle",272,108,38,38,82,52,266
"53","Candyman",271,102,37,40,82,53,261
"54","Row Jimmy",269,88,33,45,91,54,257
"55","Throwing Stones",266,118,27,35,79,55,259
"56","Morning Dew",265,108,30,40,78,56,256
"57","Peggy-O",265,96,43,44,73,57,256
"58","The Wheel",259,104,40,35,72,58,251
"59","Fire on the Mountain",254,95,37,36,73,59,241
"60","Cold Rain and Snow",245,115,25,22,74,60,236
"61","Dark Star",245,105,34,26,59,61,224
"62","Let It Grow",236,93,28,35,72,62,228
"63","The Music Never Stopped",236,83,40,39,73,63,235
"64","Mississippi Half-Step Uptown Toodeloo",235,87,32,42,69,64,230
"65","Dire Wolf",225,98,23,24,72,65,217
"66","Saint of Circumstance",224,76,34,35,71,66,216
"67","They Love Each Other",224,72,43,31,69,67,215
"68","Ship of Fools",223,87,34,33,57,68,211
"69","Cumberland Blues",222,91,27,17,77,69,212
"70","Franklin's Tower",222,83,30,31,72,70,216
"71","Brokedown Palace",218,85,30,29,68,71,212
"72","Hell in a Bucket",217,96,22,31,63,72,212
"73","Touch of Grey",209,91,23,29,62,73,205
"74","Feel Like a Stranger",208,71,33,40,57,74,201
"75","Man Smart, Woman Smarter",199,87,22,32,53,75,194
"76","Iko Iko",185,79,23,28,52,76,182
"77","St. Stephen",180,78,28,12,60,77,178
"78","Big Railroad Blues",173,59,27,17,58,78,161
"79","Shakedown Street",163,58,20,18,58,79,154
"80","It Must Have Been the Roses",158,55,19,26,49,80,149
"81","Box of Rain",157,54,29,21,48,81,152
"82","Black-Throated Wind",155,46,22,24,38,82,130
"83","It's All Over Now",154,48,22,27,56,83,153
"84","It's All Over Now, Baby Blue",148,68,16,21,39,84,144
"85","Stagger Lee",147,50,24,28,44,85,146
"86","Lost Sailor",146,48,23,19,49,86,139
"87","When I Paint My Masterpiece",146,58,21,20,43,87,142
"88","Crazy Fingers",145,62,18,22,40,88,142
"89","Alabama Getaway",142,54,20,18,44,89,136
"90","Walkin' Blues",141,61,17,22,37,90,137
"91","West L.A. Fadeaway",140,65,16,20,37,91,138
"92","High Time",131,52,13,17,46,92,128
"93","Dancing in the Street",127,49,19,11,47,93,126
"94","See See Rider",127,46,14,16,45,94,121
"95","Queen Jane Approximately",124,50,18,18,33,95,119
"96","Supplication",123,34,23,17,47,96,121
"97","All Along the Watchtower",118,46,23,17,29,97,115
"98","Me and Bobby McGee",118,33,26,14,38,98,111
"99","Jack-A-Roe",116,40,15,20,38,99,113
"100","Hard to Handle",115,51,14,7,40,100,112
"101","Slipknot!",114,43,12,16,40,101,111
"102","China Doll",113,44,19,12,34,102,109
"103","Lazy Lightning",111,32,23,15,39,103,109
"104","Might as Well",111,44,15,15,34,104,108
"105","Help on the Way",110,41,12,15,39,105,107
"106","My Brother Esau",104,47,8,14,35,106,104
"107","Passenger",100,34,20,19,25,107,98
"108","The Eleven",99,65,12,7,15,108,99
"109","Loose Lucy",97,33,16,15,28,109,92
"110","Victim or the Crime",96,31,23,16,22,110,92
"111","Wang Dang Doodle",95,42,12,16,23,111,93
"112","Way to Go Home",92,32,17,17,25,112,91
"113","Foolish Heart",87,29,16,17,23,113,85
"114","Gimme Some Lovin'",87,39,12,12,24,114,87
"115","That's It for the Other One",82,56,8,3,14,115,81
"116","Next Time You See Me",80,29,5,1,29,116,64
"117","Dupree's Diamond Blues",79,34,7,12,25,117,78
"118","Big Boss Man",78,31,7,1,28,118,67
"119","Corrina",77,27,15,14,20,119,76
"120","Picasso Moon",77,26,11,17,20,120,74
"121","Cryptical Envelopment",75,31,18,4,21,121,74
"122","Standing on the Moon",75,29,11,12,20,122,72
"123","Far From Me",73,27,14,6,24,123,71
"124","Good Morning, School Girl",73,54,10,1,7,124,72
"125","Jam",72,33,11,4,20,125,68
"126","Knockin' on Heaven's Door",72,29,10,7,23,126,69
"127","Stuck Inside of Mobile With the Memphis Blues Again",70,27,10,14,18,127,69
