"","day","month","year","venue","ext","date","location","city","country","state","region","lat","lon","n","fixedc","standardc","fixedp","fixedfinal","noplace","fixedfinal2"
"1","9","Jul","1995","Soldier Field, Chicago, IL, USA","http://www.setlist.fm/setlist/grateful-dead/1995/soldier-field-chicago-il-3bd600ec.html",1995-07-09,"Soldier Field","Chicago","USA","IL","Midwest",41.8623132,-87.6166884,18,0.0257373127304102,1.69331333792809e-45,0.0257373127304102,4.96981764535136,0.00662878787878788,5.17708529328128
"2","8","Jul","1995","Soldier Field, Chicago, IL, USA","http://www.setlist.fm/setlist/grateful-dead/1995/soldier-field-chicago-il-1bd6bde8.html",1995-07-08,"Soldier Field","Chicago","USA","IL","Midwest",41.8623132,-87.6166884,19,0.0293119394985228,3.14435623470073e-44,0.0293119394985228,4.85958974080611,0.00754945286195286,5.04012933252186
"3","6","Jul","1995","Riverport Amphitheatre, Maryland Heights, MO, USA","http://www.setlist.fm/setlist/grateful-dead/1995/riverport-amphitheatre-maryland-heights-mo-33d600ed.html",1995-07-06,"Riverport Amphitheatre","Maryland Heights","USA","MO","Midwest",38.7444212,-90.4695982,18,0.0114388056579601,6.01028140172526e-44,0.0114388056579601,5.65713012810354,0.00662878787878788,5.17708529328128
"4","5","Jul","1995","Riverport Amphitheatre, Maryland Heights, MO, USA","http://www.setlist.fm/setlist/grateful-dead/1995/riverport-amphitheatre-maryland-heights-mo-13d6bde9.html",1995-07-05,"Riverport Amphitheatre","Maryland Heights","USA","MO","Midwest",38.7444212,-90.4695982,17,0.00603714743059005,6.71004187558316e-41,0.00603714743059005,6.19878910777012,0.00349852693602694,5.85008571246051
"5","2","Jul","1995","Deer Creek Music Center, Noblesville, IN, USA","http://www.setlist.fm/setlist/grateful-dead/1995/deer-creek-music-center-noblesville-in-bd6bdea.html",1995-07-02,"Deer Creek Music Center","Noblesville","USA","IN","Midwest",40.0049625,-85.9310751,18,0.0400358198028604,2.3668311636687e-45,0.0400358198028604,4.59533762246228,0.00662878787878788,5.17708529328128
"6","30","Jun","1995","Three Rivers Stadium, Pittsburgh, PA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/three-rivers-stadium-pittsburgh-pa-3d6bdeb.html",1995-06-30,"Three Rivers Stadium","Pittsburgh","USA","PA","Northeast",40.4467567,-80.0129378,17,0.00301857371529503,5.88192191875423e-44,0.00301857371529503,6.78627333274595,0.00349852693602694,5.85008571246051
"7","28","Jun","1995","The Palace of Auburn Hills, Auburn Hills, MI, USA","http://www.setlist.fm/setlist/grateful-dead/1995/the-palace-of-auburn-hills-auburn-hills-mi-23d600ef.html",1995-06-28,"The Palace of Auburn Hills","Auburn Hills","USA","MI","Midwest",42.6985291,-83.2425554,18,0.0228776113159202,6.98729560888586e-43,0.0228776113159202,5.06964590312771,0.00662878787878788,5.17708529328128
"8","27","Jun","1995","The Palace of Auburn Hills, Auburn Hills, MI, USA","http://www.setlist.fm/setlist/grateful-dead/1995/the-palace-of-auburn-hills-auburn-hills-mi-3bd600e8.html",1995-06-27,"The Palace of Auburn Hills","Auburn Hills","USA","MI","Midwest",42.6985291,-83.2425554,19,0.0260550573320202,1.20839249425066e-47,0.0260550573320202,4.95941799858246,0.00754945286195286,5.04012933252186
"9","25","Jun","1995","RFK Stadium, Washington, DC, USA","http://www.setlist.fm/setlist/grateful-dead/1995/rfk-stadium-washington-dc-33d600e9.html",1995-06-25,"RFK Stadium","Washington","USA","DC","South",38.8897917,-76.9719557,19,0.0488532324975379,2.69103047123555e-46,0.0488532324975379,4.42663407988352,0.00754945286195286,5.04012933252186
"10","24","Jun","1995","RFK Stadium, Washington, DC, USA","http://www.setlist.fm/setlist/grateful-dead/1995/rfk-stadium-washington-dc-13d6bdf5.html",1995-06-24,"RFK Stadium","Washington","USA","DC","South",38.8897917,-76.9719557,17,0.0226393028647127,4.82042815098287e-41,0.0226393028647127,5.07852096409537,0.00349852693602694,5.85008571246051
"11","22","Jun","1995","Knickerbocker Arena, Albany, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1995/knickerbocker-arena-albany-ny-2bd600ea.html",1995-06-22,"Knickerbocker Arena","Albany","USA","NY","Northeast",42.6485495,-73.7547501,18,0.0371761183883703,4.81880730141008e-43,0.0371761183883703,4.65814861817331,0.00662878787878788,5.17708529328128
"12","21","Jun","1995","Knickerbocker Arena, Albany, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1995/knickerbocker-arena-albany-ny-3d6bdf7.html",1995-06-21,"Knickerbocker Arena","Albany","USA","NY","Northeast",42.6485495,-73.7547501,16,0.0101791752730062,7.66929182585805e-40,0.0101791752730062,5.75601297520967,0.00181502525252525,6.54115973905564
"13","19","Jun","1995","Giants Stadium, East Rutherford, NJ, USA","http://www.setlist.fm/setlist/grateful-dead/1995/giants-stadium-east-rutherford-nj-23d600eb.html",1995-06-19,"Giants Stadium","East Rutherford","USA","NJ","Northeast",40.8128397,-74.0742091,20,0.0398769475020554,3.37846101184875e-48,0.0398769475020554,4.59870764908104,0.00660248316498317,5.18127248376867
"14","18","Jun","1995","Giants Stadium, East Rutherford, NJ, USA","http://www.setlist.fm/setlist/grateful-dead/1995/giants-stadium-east-rutherford-nj-3bd600f4.html",1995-06-18,"Giants Stadium","East Rutherford","USA","NJ","Northeast",40.8128397,-74.0742091,18,0.0400358198028604,2.01805485536729e-41,0.0400358198028604,4.59533762246228,0.00662878787878788,5.17708529328128
"15","15","Jun","1995","Franklin County Airport Field, Highgate, VT, USA","http://www.setlist.fm/setlist/grateful-dead/1995/franklin-county-airport-field-highgate-vt-1bd6bdf0.html",1995-06-15,"Franklin County Airport Field","Highgate","USA","VT","Northeast",44.938362,-73.095146,20,0.00569670678600791,2.10685693028311e-50,0.00569670678600791,6.24798437969812,0.00660248316498317,5.18127248376867
"16","4","Jun","1995","Shoreline Amphitheatre, Mountain View, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/shoreline-amphitheatre-mountain-view-ca-33d600f5.html",1995-06-04,"Shoreline Amphitheatre","Mountain View","USA","CA","West",37.4268449,-122.0807694,19,0.127018404493599,2.09588382811498e-44,0.127018404493599,3.61678024727614,0.00754945286195286,5.04012933252186
"17","3","Jun","1995","Shoreline Amphitheatre, Mountain View, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1995/shoreline-amphitheatre-mountain-view-ca-2bd600f6.html",1995-06-03,"Shoreline Amphitheatre","Mountain View","USA","CA","West",37.4268449,-122.0807694,19,0.127018404493599,6.00696219045809e-43,0.127018404493599,3.61678024727614,0.00754945286195286,5.04012933252186
