feature,outlier,Train_Score,Test_Score
5,5,0.835637481,0.812308321
5,10,0.836087958,0.814659579
5,15,0.830878588,0.81241055
5,20,0.830111381,0.813943979
5,25,0.827479092,0.816295236
5,30,0.817533465,0.813023921
5,35,0.819094884,0.814455122
5,40,0.816052227,0.810059293
5,45,0.808173905,0.813432836
5,50,0.807168459,0.808116949
5,55,0.798668412,0.810672664
5,60,0.786793903,0.804027806
5,65,0.781565472,0.79942752
5,70,0.766171702,0.803925578
5,75,0.736215217,0.803618892
5,80,0.763680636,0.795031691
5,85,0.731965812,0.77847066
5,90,0.641813989,0.764465345
5,95,0.555438781,0.693109793
10,5,0.852965748,0.830505009
10,10,0.851226034,0.82610918
10,15,0.84699256,0.82467798
10,20,0.842933948,0.823553466
10,25,0.84021164,0.823553466
10,30,0.83621068,0.820179922
10,35,0.826301068,0.82396238
10,40,0.825695511,0.816806379
10,45,0.8127822,0.824882437
10,50,0.805888377,0.824575751
10,55,0.789530583,0.820282151
10,60,0.784593712,0.811286036
10,65,0.765635286,0.810161521
10,70,0.733060249,0.819464322
10,75,0.708550947,0.803107749
10,80,0.68202765,0.761296258
10,85,0.669911202,0.703946023
10,90,0.660251475,0.758229401
10,95,0.655755592,0.759149458
15,5,0.855687606,0.829687181
15,10,0.85668364,0.828562666
15,15,0.855245324,0.82754038
15,20,0.850385637,0.825495809
15,25,0.849906127,0.819055408
15,30,0.846975349,0.819055408
15,35,0.843711844,0.816397465
15,40,0.841141833,0.817113065
15,45,0.836196062,0.804130035
15,50,0.836663593,0.804947863
15,55,0.817318086,0.809343692
15,60,0.81579453,0.807401349
15,65,0.805632772,0.802801063
15,70,0.792797406,0.803618892
15,75,0.776603386,0.790226947
15,80,0.734461105,0.783377632
15,85,0.691138808,0.751686772
15,90,0.660348361,0.707115109
15,95,0.676410256,0.754140258
20,5,0.859972512,0.829891638
20,10,0.862746771,0.830505009
20,15,0.859130749,0.830607238
20,20,0.857618331,0.829176038
20,25,0.850925104,0.819668779
20,30,0.849347134,0.822837865
20,35,0.847768719,0.815068493
20,40,0.838482547,0.811183807
20,45,0.836754643,0.81241055
20,50,0.835381464,0.802903292
20,55,0.821072993,0.799325291
20,60,0.806643625,0.806685749
20,65,0.788091581,0.801881006
20,70,0.784946237,0.800960949
20,75,0.759147279,0.793600491
20,80,0.749583494,0.794213862
20,85,0.723029578,0.778981803
20,90,0.701542416,0.740646085
20,95,0.663412127,0.745246371
25,5,0.859622174,0.831220609
25,10,0.859077203,0.831118381
25,15,0.856407012,0.829073809
25,20,0.855606759,0.828664895
25,25,0.855265404,0.826006952
25,30,0.851870817,0.827233695
25,35,0.846941589,0.819975465
25,40,0.839093702,0.818237579
25,45,0.835482519,0.823042323
25,50,0.824987199,0.81169495
25,55,0.827046709,0.805356778
25,60,0.820916539,0.809037007
25,65,0.807419331,0.801881006
25,70,0.789981225,0.803414435
25,75,0.776139273,0.808219178
25,80,0.772913466,0.805970149
25,85,0.733606557,0.781435289
25,90,0.720071776,0.769372316
25,95,0.686396677,0.760785116
30,5,0.857600992,0.828153752
30,10,0.857512659,0.82754038
30,15,0.852474323,0.826722552
30,20,0.849318138,0.82610918
30,25,0.852329749,0.826518094
30,30,0.847267939,0.825291351
30,35,0.843160424,0.82253118
30,40,0.838852851,0.823451237
30,45,0.838057999,0.814659579
30,50,0.822068612,0.818237579
30,55,0.816464698,0.808321407
30,60,0.816948285,0.808219178
30,65,0.805500695,0.806583521
30,70,0.798463508,0.799120834
30,75,0.795494112,0.804538949
30,80,0.771033423,0.798814148
30,85,0.746798702,0.795031691
30,90,0.725083269,0.779799632
30,95,0.685861183,0.759149458
35,5,0.855552861,0.829482723
35,10,0.852875917,0.828358209
35,15,0.85123942,0.829176038
35,20,0.850678443,0.827029237
35,25,0.848233487,0.828562666
35,30,0.840611513,0.826620323
35,35,0.845129781,0.82539358
35,40,0.837514934,0.822224494
35,45,0.830842992,0.822837865
35,50,0.828827445,0.811081578
35,55,0.8149286,0.814966265
35,60,0.800819252,0.81097935
